session,section,total_think_aloud_count,total_search_count,total_topic_change_count,total_mouse_hover_count,total_open-doc_count,think_aloud_ratio,search_ratio,topic_change_ratio,open-doc_ratio,total_interaction_count,total_duration,repeat_searches,prop_repeat_searches,search_term_similarity,search_time_std_dev,search_open_overlap,search_term_efficiency,DataExploreCounts,VisualExploreCounts,InsightCounts,TheorizeCounts,DiscoveryCounts,NewIdeaCounts,OrganizeCounts,PatternRecognitionCounts,TrailCounts,DataExploreUsual,VisualExploreUsual,InsightUsual,TheorizeUsual,DiscoveryUsual,NewIdeaUsual,OrganizeUsual,PatternRecognitionUsual,TrailUsual,TotalUsual,DataExploreUnusual,VisualExploreUnusual,InsightUnusual,TheorizeUnusual,DiscoveryUnusual,NewIdeaUnusual,OrganizeUnusual,PatternRecognitionUnusual,TrailUnusual,TotalUnusual
Arms_P1_InteractionsLogs.json,Arms Dealing,137,82,10,143,134,0.1558589306029579,0.0932878270762229,0.0113765642775881,0.1524459613196814,879,52595,32,0.3902439024390244,0.1382667278104647,3451.550393695536,0.4427353853279779,6.037037037037037,204.0,144.0,49.0,101.0,80.0,67.0,67.0,52.0,114.0,0.7450980392156863,1.0,0.6938775510204082,0.504950495049505,0.55,0.5223880597014925,0.8656716417910447,0.5,0.7368421052631579,0.715261958997722,0.2549019607843137,0.0,0.3061224489795918,0.495049504950495,0.45,0.4776119402985074,0.1343283582089552,0.5,0.2631578947368421,0.2847380410022779
Arms_P2_InteractionsLogs.json,Arms Dealing,69,27,6,275,91,0.0805134189031505,0.0315052508751458,0.0070011668611435,0.1061843640606767,857,47952,3,0.1111111111111111,0.1821288640887145,4267.56094544377,0.5336738132437058,7.074074074074074,192.0,255.0,15.0,115.0,50.0,41.0,37.0,27.0,124.0,0.8854166666666666,1.0,0.1333333333333333,0.9565217391304348,0.62,0.6829268292682927,0.918918918918919,0.0,0.6370967741935484,0.8282710280373832,0.1145833333333333,0.0,0.8666666666666667,0.0434782608695652,0.38,0.3170731707317073,0.081081081081081,1.0,0.3629032258064516,0.1717289719626168
Arms_P3_InteractionsLogs.json,Arms Dealing,78,46,15,167,140,0.0635696821515892,0.0374898125509372,0.0122249388753056,0.1140994295028524,1227,52979,5,0.108695652173913,0.0916875517749458,2985.7279456539454,0.549642128525609,6.466666666666667,468.0,163.0,29.0,186.0,68.0,80.0,24.0,33.0,175.0,0.8290598290598291,1.0,0.7586206896551724,0.6720430107526881,0.0,0.8375,0.5416666666666666,0.0,0.7714285714285715,0.7446982055464927,0.1709401709401709,0.0,0.2413793103448276,0.3279569892473118,1.0,0.1625,0.4583333333333333,1.0,0.2285714285714285,0.2553017944535073
Arms_P4_InteractionsLogs.json,Arms Dealing,74,76,10,152,149,0.0617696160267111,0.0634390651085141,0.008347245409015,0.1243739565943238,1198,54773,7,0.0921052631578946,0.068575107858538,3323.6320456693165,0.3543463201744936,4.9868421052631575,271.0,196.0,32.0,134.0,167.0,161.0,51.0,46.0,139.0,0.8523985239852399,1.0,0.625,0.6940298507462687,0.6467065868263473,0.8012422360248447,0.7450980392156863,0.0,0.8776978417266187,0.7827903091060986,0.1476014760147601,0.0,0.375,0.3059701492537313,0.3532934131736527,0.1987577639751552,0.2549019607843137,1.0,0.1223021582733813,0.2172096908939014
Arms_P5_InteractionsLogs.json,Arms Dealing,32,66,11,264,239,0.0333333333333333,0.06875,0.0114583333333333,0.2489583333333333,960,53352,11,0.1666666666666666,0.1010670699111157,5623.355523906678,0.5804673366335897,8.138461538461538,310.0,205.0,2.0,149.0,29.0,19.0,48.0,37.0,160.0,0.8580645161290322,0.8829268292682927,0.0,0.8053691275167785,0.0,0.0,1.0,0.0,0.8375,0.781021897810219,0.1419354838709677,0.1170731707317073,1.0,0.1946308724832214,1.0,1.0,0.0,1.0,0.1625,0.218978102189781
Arms_P6_InteractionsLogs.json,Arms Dealing,116,78,14,274,151,0.1045987376014427,0.0703336339044184,0.0126239855725879,0.1361587015329125,1109,53570,9,0.1153846153846154,0.1225954305719388,4989.9701828119605,0.5855110746399494,5.743589743589744,308.0,271.0,39.0,153.0,59.0,52.0,38.0,29.0,159.0,0.8506493506493507,1.0,0.8205128205128205,0.7254901960784313,0.6949152542372882,0.4807692307692308,0.7105263157894737,0.0,0.6918238993710691,0.7933212996389891,0.1493506493506493,0.0,0.1794871794871795,0.2745098039215686,0.3050847457627119,0.5192307692307693,0.2894736842105263,1.0,0.3081761006289308,0.2066787003610108
Arms_P7_InteractionsLogs.json,Arms Dealing,59,100,18,230,286,0.0530098831985624,0.0898472596585804,0.0161725067385444,0.2569631626235399,1113,48551,16,0.16,0.0758751755913474,1336.4710029655248,0.6568593963226315,5.25,432.0,164.0,13.0,182.0,36.0,49.0,28.0,38.0,170.0,0.8078703703703703,0.926829268292683,0.3846153846153846,0.8791208791208791,0.0,0.7142857142857143,0.3928571428571428,0.0,0.8588235294117647,0.7715827338129496,0.1921296296296296,0.073170731707317,0.6153846153846154,0.1208791208791208,1.0,0.2857142857142857,0.6071428571428571,1.0,0.1411764705882353,0.2284172661870503
Arms_P8_InteractionsLogs.json,Arms Dealing,81,63,10,146,197,0.0500618046971569,0.0389369592088998,0.0061804697156983,0.1217552533992583,1618,53652,22,0.3492063492063492,0.1048546863531989,3600.6420958357057,0.4531949531949531,5.238095238095238,860.0,111.0,9.0,217.0,73.0,70.0,31.0,25.0,221.0,0.9,0.8108108108108109,0.1111111111111111,0.488479262672811,0.0273972602739726,0.7285714285714285,0.6129032258064516,0.0,0.9230769230769232,0.7711811997526283,0.1,0.1891891891891892,0.8888888888888888,0.511520737327189,0.9726027397260274,0.2714285714285714,0.3870967741935484,1.0,0.0769230769230769,0.2288188002473716
Terrorist_P1_InteractionsLogs.json,Terrorist Activites,87,48,11,176,118,0.1102661596958174,0.0608365019011406,0.0139416983523447,0.1495564005069708,789,53988,3,0.0625,0.1525822004662886,11331.390023368807,0.473926769536737,19.229166666666668,235.0,130.0,52.0,106.0,54.0,47.0,31.0,20.0,113.0,0.825531914893617,0.9230769230769232,0.6538461538461539,0.7358490566037735,0.5,0.7446808510638298,0.5806451612903226,0.0,0.7876106194690266,0.7550761421319797,0.1744680851063829,0.0769230769230769,0.3461538461538461,0.2641509433962264,0.5,0.2553191489361702,0.4193548387096774,1.0,0.2123893805309734,0.2449238578680203
Terrorist_P2_InteractionsLogs.json,Terrorist Activites,68,38,12,115,89,0.0821256038647343,0.0458937198067632,0.0144927536231884,0.107487922705314,828,53599,3,0.0789473684210526,0.109290820715736,3756.755427838575,0.5870039048363148,7.2105263157894735,193.0,113.0,15.0,87.0,140.0,142.0,29.0,23.0,85.0,0.8601036269430051,0.9380530973451328,0.8666666666666667,0.367816091954023,0.8857142857142857,0.8309859154929577,0.5862068965517241,0.0,0.8235294117647058,0.781136638452237,0.1398963730569948,0.0619469026548672,0.1333333333333333,0.632183908045977,0.1142857142857142,0.1690140845070422,0.4137931034482758,1.0,0.1764705882352941,0.218863361547763
